start_date,end_date,nhs_fy,org_type,org_code,org_name,variable_type,variable_a,variable_b,statistic,measure,value
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,percentage,deterioration,5.2
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,count,no_reliable_change,3375
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,percentage,no_reliable_change,28.9
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,count,reliable_recovery,5138
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,percentage,reliable_recovery,46.4
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,count,recovery,5562
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Obsessive-compulsive disorder,percentage,recovery,50.2
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,count,referrals_received,41039
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,count,finished_course_treatment,20890
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,count,at_caseness,18799
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,count,not_at_caseness,2070
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,count,improvement,14171
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,percentage,improvement,67.8
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,count,deterioration,1181
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,percentage,deterioration,5.7
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,count,no_reliable_change,5365
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,percentage,no_reliable_change,25.7
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,count,reliable_recovery,10132
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,percentage,reliable_recovery,53.8
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,count,recovery,10699
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Other anxiety or stress related disorder,percentage,recovery,56.8
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],count,referrals_received,24046
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],count,finished_course_treatment,16291
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],count,at_caseness,14963
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],count,not_at_caseness,1328
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],count,improvement,11018
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],percentage,improvement,67.6
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],count,deterioration,922
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],percentage,deterioration,5.7
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],count,no_reliable_change,4286
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],percentage,no_reliable_change,26.3
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],count,reliable_recovery,7678
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],percentage,reliable_recovery,51.3
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],count,recovery,8017
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],percentage,recovery,53.6
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,count,referrals_received,37753
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,count,finished_course_treatment,20067
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,count,at_caseness,19544
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,count,not_at_caseness,514
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,count,improvement,12742
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,percentage,improvement,63.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,count,deterioration,1554
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,percentage,deterioration,7.7
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,count,no_reliable_change,5571
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,percentage,no_reliable_change,27.8
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,count,reliable_recovery,7732
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,percentage,reliable_recovery,39.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,count,recovery,7902
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Post-traumatic stress disorder,percentage,recovery,40.4
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,count,referrals_received,22718
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,count,finished_course_treatment,15017
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,count,at_caseness,14286
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,count,not_at_caseness,731
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,count,improvement,9984
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,percentage,improvement,66.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,count,deterioration,870
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,percentage,deterioration,5.8
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,count,no_reliable_change,4105
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,percentage,no_reliable_change,27.3
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,count,reliable_recovery,5932
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,percentage,reliable_recovery,41.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,count,recovery,6195
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Social phobias,percentage,recovery,43.4
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,count,referrals_received,6912
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,count,finished_course_treatment,4951
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,count,at_caseness,3610
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,count,not_at_caseness,1341
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,count,improvement,3005
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,percentage,improvement,60.7
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,count,deterioration,263
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,percentage,deterioration,5.3
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,count,no_reliable_change,1663
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,percentage,no_reliable_change,33.6
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,count,reliable_recovery,2185
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,percentage,reliable_recovery,60.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,count,recovery,2330
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Anxiety and stress related disorders,Specific (isolated) phobias,percentage,recovery,64.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,count,referrals_received,68517
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,count,finished_course_treatment,24205
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,count,at_caseness,21025
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,count,not_at_caseness,3133
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,count,improvement,13928
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,percentage,improvement,57.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,count,deterioration,1817
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,percentage,deterioration,7.5
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,count,no_reliable_change,7923
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,percentage,no_reliable_change,32.7
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,count,reliable_recovery,8978
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,percentage,reliable_recovery,42.6
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,count,recovery,9601
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Other,percentage,recovery,45.6
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,count,referrals_received,8132
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,count,finished_course_treatment,5185
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,count,at_caseness,4889
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,count,not_at_caseness,296
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,count,improvement,3956
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,percentage,improvement,76.3
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,count,deterioration,219
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,percentage,deterioration,4.2
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,count,no_reliable_change,990
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,percentage,no_reliable_change,19.1
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,count,reliable_recovery,2676
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,percentage,reliable_recovery,54.7
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,count,recovery,2740
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Mental Health problems,Hypochondriacal disorder,percentage,recovery,56
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,count,referrals_received,22336
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,count,finished_course_treatment,7084
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,count,at_caseness,6289
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,count,not_at_caseness,785
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,count,improvement,4654
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,percentage,improvement,65.7
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,count,deterioration,414
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,percentage,deterioration,5.8
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,count,no_reliable_change,1925
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,percentage,no_reliable_change,27.2
2017-04-01,2018-03-31,fy1718,England,All,All,Problem Descriptor,Other Recorded Problems,NA,count,reliable_recovery,3247
